Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2)
5.369808973E1,-2.916850805E0,7.563114166E0,1.684846282E0
5.370797703E1,-2.845066071E0,7.623233795E0,1.881057739E0
5.371786432E1,-2.711068153E0,7.927122116E0,2.170888424E0
5.372775166E1,-2.842673302E0,8.338987350E0,1.979462504E0
5.373763895E1,-2.950350285E0,8.774779320E0,2.304886341E0
5.374752624E1,-2.828316450E0,9.011669159E0,3.226721287E0
5.375741354E1,-2.553141832E0,9.421140671E0,3.724727631E0
5.376730088E1,-2.062314034E0,1.005314541E1,4.179663181E0
5.377718817E1,-2.146062851E0,1.058943653E1,5.546562672E0
5.378707546E1,-3.486641645E0,1.036660480E1,7.586444378E0
5.379696281E1,-5.289334297E0,9.342177391E0,8.057829857E0
5.380685010E1,-5.847161293E0,8.224131584E0,7.339684486E0
5.381673739E1,-4.808377266E0,8.499305725E0,6.125925064E0
5.382662473E1,-2.519642353E0,1.023021412E1,3.758227110E0
5.383651203E1,-3.050848842E-1,1.221745300E1,1.706381679E0
5.384639932E1,2.431706041E-1,1.320359516E1,8.901300430E-1
5.385628661E1,-9.801599979E-1,1.278724384E1,8.566305041E-1
5.386617395E1,-2.699103832E0,1.134347439E1,1.170090318E0
5.387606124E1,-3.675973892E0,9.990931511E0,1.412064433E0
5.388594859E1,-3.481856108E0,9.291928291E0,1.261017561E0
5.389583588E1,-2.454736948E0,9.112167358E0,1.107876897E0
5.390572317E1,-1.526022673E0,9.104989052E0,8.231309652E-1
5.391561046E1,-1.262513041E0,9.066703796E0,7.558328509E-1
5.392549781E1,-1.628913999E0,8.774779320E0,1.457528114E0
5.393538510E1,-2.131705761E0,8.415556908E0,2.343171597E0
5.394527239E1,-2.476272345E0,8.142476082E0,2.218744755E0
5.395515973E1,-2.679961443E0,8.053941727E0,2.422134638E0
5.396504703E1,-2.548356056E0,8.188239098E0,2.431705952E0
5.397493432E1,-2.059921265E0,8.702695847E0,1.922034740E0
5.398482166E1,-1.430309772E0,9.234201431E0,1.548455358E0
5.399470895E1,-1.068694472E0,9.538389206E0,1.244267821E0
5.400459624E1,-1.382154226E0,9.540781975E0,9.044869542E-1
5.401448359E1,-1.875374794E0,9.433105469E0,8.757730722E-1
5.402437088E1,-2.351845503E0,9.277272224E0,9.499505758E-1
5.403425817E1,-2.868994236E0,9.162417412E0,9.786644578E-1
5.404414552E1,-3.122932673E0,9.179166794E0,1.194018483E0
5.405403281E1,-3.182753325E0,9.337391853E0,1.306481123E0
5.406392010E1,-3.158824921E0,9.397212982E0,1.323230863E0
5.407380739E1,-2.217847586E0,9.387641907E0,1.345065475E0
5.408369473E1,-8.868398666E-1,9.368498802E0,1.330409408E0
5.409358203E1,3.798605800E-1,9.473783493E0,9.164510965E-1
5.410346937E1,1.375573874E0,9.753743172E0,9.332008362E-1
5.411335666E1,1.727617979E0,9.995717049E0,1.040877819E0
5.412324395E1,1.406680584E0,9.959825516E0,9.092726111E-1
5.413313130E1,1.019043326E0,9.760921478E0,6.840481758E-1
5.414301859E1,1.074078321E0,9.674779892E0,3.753740489E-1
5.415290588E1,1.232004523E0,9.624530792E0,2.027917206E-1
5.416279322E1,1.232004523E0,9.674779892E0,2.892324328E-1
5.417268052E1,1.229611754E0,9.830313683E0,2.365903407E-1
5.418256781E1,1.289432287E0,9.827920914E0,1.836491376E-1
5.419245515E1,1.188933730E0,9.713065147E0,2.027917206E-1
5.420234244E1,8.249256015E-1,9.557532310E0,2.820539773E-1
5.421222973E1,3.535395563E-1,9.492925644E0,3.825525343E-1
5.422211708E1,5.174478889E-2,9.526425362E0,4.399802685E-1
5.423200437E1,-1.372881979E-1,9.583852768E0,4.304089844E-1
5.424189166E1,-1.013958603E-1,9.526425362E0,3.370888829E-1
5.425177900E1,1.929213256E-1,9.437891006E0,2.676970363E-1
5.426166630E1,4.372883439E-1,9.344570160E0,3.825525343E-1
5.427155359E1,3.104687333E-1,9.291928291E0,5.213362575E-1
5.428144093E1,3.499503061E-2,9.186345100E0,6.792625189E-1
