"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.508269340E0,1.840093136E-1,-1.779651642E-1,1.625208855E-1
3.518156423E0,3.935949206E-1,1.176624298E-1,-2.750265598E-2
3.528043559E0,5.620793104E-1,2.002182007E-1,-1.957296729E-1
3.537930642E0,6.686245799E-1,2.493705750E-1,-3.035411239E-1
3.547817777E0,5.845786333E-1,1.891155243E-1,-5.409767628E-1
3.557704861E0,6.289134026E-1,1.058559418E-1,-8.364127874E-1
3.567591996E0,6.789283752E-1,6.399059296E-2,-9.928458929E-1
3.577479132E0,5.916751623E-1,-3.719234467E-2,-9.417062998E-1
3.587366215E0,4.980926514E-1,-1.379671097E-1,-9.280912876E-1
3.597253350E0,3.297475576E-1,-1.403951645E-1,-9.247356057E-1
3.607140434E0,2.455265522E-1,-1.115226746E-1,-8.807563782E-1
3.617027569E0,1.794760227E-1,-3.689956665E-2,-9.544130564E-1
3.626914652E0,2.130912542E-1,-4.093647003E-2,-7.669422030E-1
3.636801788E0,3.891493082E-1,-5.449962616E-2,-6.583418846E-1
3.646688871E0,5.420849323E-1,1.061820984E-2,-7.305265665E-1
3.656576007E0,5.764173269E-1,8.476448059E-2,-4.774191678E-1
3.666463090E0,5.194005966E-1,1.759719849E-2,-3.159724176E-1
3.676350225E0,4.693275690E-1,-1.255273819E-1,-4.319767952E-1
3.686237309E0,4.388899803E-1,-2.389612198E-1,-4.394094050E-1
3.696124444E0,2.662582397E-1,-2.986660004E-1,-1.750290394E-1
3.706011527E0,2.451014519E-2,-2.783975601E-1,1.162129641E-2
3.715898663E0,-2.168861628E-1,-2.331800461E-1,1.777430773E-1
3.725785798E0,-3.583335876E-1,-2.300462723E-1,1.998636127E-1
3.735672882E0,-3.313822746E-1,-1.999273300E-1,3.288461566E-1
3.745560017E0,-3.178040981E-1,-2.718057632E-1,3.228188157E-1
3.755447100E0,-3.519076109E-1,-3.067369461E-1,2.303954959E-1
3.765334236E0,-4.106309414E-1,-2.640600204E-1,2.656675577E-1
3.775221319E0,-4.590771198E-1,-2.654294968E-1,3.776661158E-1
3.785108454E0,-5.336599350E-1,-3.127479553E-1,4.516904950E-1
3.794995538E0,-5.360316038E-1,-3.461494446E-1,3.678942919E-1
3.804882673E0,-5.941603184E-1,-2.202939987E-1,2.932977080E-1
